USMS Men's Short Course Yards Records 07/15/2024
Age Group,Event,Name,Date,Time
M55-59,200 Y IM,Mike Irvin,03-18-23,2:00.19Y
M55-59,400 Y IM,Jim Sauer,05-02-14,4:28.66Y
M60-64,50 Y Free,Richard Abrahams,05-22-05,22.30Y
M60-64,100 Y Free,Richard Abrahams,05-22-05,49.14Y
M60-64,200 Y Free,Rick Colella,04-24-15,1:51.08Y
M60-64,500 Y Free,Fred L Schuster,06-21-24,5:02.69Y
M60-64,1000 Y Free,Michael T Mann,04-23-15,10:42.16Y
M60-64,1650 Y Free,Arnaldo Perez,04-28-22,17:44.05Y
M60-64,50 Y Back,Bruce C Kone,04-07-18,26.60Y
M60-64,100 Y Back,Tom Barton,04-30-16,57.46Y
M60-64,200 Y Back,Tom Barton,05-01-16,2:07.91Y
M60-64,50 Y Breast,Carlo A Travaini,06-20-24,26.87Y
M60-64,100 Y Breast,Carlo A Travaini,04-28-23,58.98Y
M60-64,200 Y Breast,Carlo A Travaini,06-22-24,2:10.01Y
M60-64,50 Y Fly,Bruce C Kone,02-10-18,24.36Y
M60-64,100 Y Fly,Paul V Carter,05-11-18,54.70Y
M60-64,200 Y Fly,Mike LaMonica,03-28-21,2:07.21Y
M60-64,100 Y IM,Carlo A Travaini,06-21-24,56.65Y
M60-64,200 Y IM,Rick Colella,05-04-14,2:03.26Y
M60-64,400 Y IM,Rick Colella,05-02-14,4:24.24Y
M65-69,50 Y Free,Richard T Abrahams,05-23-10,22.10Y
M65-69,100 Y Free,Richard T Abrahams,05-22-10,49.42Y
M65-69,200 Y Free,Rick Colella,04-30-17,1:52.57Y
M65-69,500 Y Free,Rick Colella,04-09-17,5:05.44Y
M65-69,1000 Y Free,Doug Kajiwara,04-07-22,11:08.83Y
M65-69,1650 Y Free,Doug Kajiwara,05-15-22,18:48.76Y
M65-69,50 Y Back,Richard T Abrahams,05-23-10,27.74Y
M65-69,100 Y Back,David A Bishop,05-05-24,59.61Y
M65-69,200 Y Back,David A Bishop,05-04-24,2:09.34Y
M65-69,50 Y Breast,Rick Colella,05-11-18,28.88Y
